=================================================================
  Clone Summary  --  2026-04-18 01:15
=================================================================

╭────────────┬──────────────┬────────────┬───────────┬──────────╮
│ System     │ Person       │ Sentence   │ Time(s)   │ Status   │
├────────────┼──────────────┼────────────┼───────────┼──────────┤
│ xtts       │ abhishek     │ sent1      │ -         │ skipped  │
│ xtts       │ abhishek     │ sent2      │ 17.3      │ OK       │
│ xtts       │ abhishek     │ sent3      │ 17.5      │ OK       │
│ xtts       │ abhishek     │ sent4      │ 17.8      │ OK       │
│ xtts       │ abhishek     │ sent5      │ 17.5      │ OK       │
│ xtts       │ abhishek     │ sent1      │ -         │ skipped  │
│ xtts       │ abhishek     │ sent2      │ -         │ skipped  │
│ xtts       │ abhishek     │ sent3      │ -         │ skipped  │
│ xtts       │ abhishek     │ sent4      │ -         │ skipped  │
│ xtts       │ abhishek     │ sent5      │ -         │ skipped  │
│ xtts       │ bhavya       │ sent1      │ -         │ skipped  │
│ xtts       │ bhavya       │ sent2      │ 17.4      │ OK       │
│ xtts       │ bhavya       │ sent3      │ 17.3      │ OK       │
│ xtts       │ bhavya       │ sent4      │ 17.4      │ OK       │
│ xtts       │ bhavya       │ sent5      │ 17.5      │ OK       │
│ xtts       │ harshvardhan │ sent1      │ -         │ skipped  │
│ xtts       │ harshvardhan │ sent2      │ 17.4      │ OK       │
│ xtts       │ harshvardhan │ sent3      │ 17.6      │ OK       │
│ xtts       │ harshvardhan │ sent4      │ 17.4      │ OK       │
│ xtts       │ harshvardhan │ sent5      │ 17.5      │ OK       │
│ xtts       │ saksham      │ sent1      │ -         │ skipped  │
│ xtts       │ saksham      │ sent2      │ 17.3      │ OK       │
│ xtts       │ saksham      │ sent3      │ 17.5      │ OK       │
│ xtts       │ saksham      │ sent4      │ 17.2      │ OK       │
│ xtts       │ saksham      │ sent5      │ 17.3      │ OK       │
│ xtts       │ sezal        │ sent1      │ -         │ skipped  │
│ xtts       │ sezal        │ sent2      │ 17.1      │ OK       │
│ xtts       │ sezal        │ sent3      │ 17.3      │ OK       │
│ xtts       │ sezal        │ sent4      │ 17.5      │ OK       │
│ xtts       │ sezal        │ sent5      │ 17.2      │ OK       │
│ xtts       │ shalini      │ sent1      │ -         │ skipped  │
│ xtts       │ shalini      │ sent2      │ 17.2      │ OK       │
│ xtts       │ shalini      │ sent3      │ 17.7      │ OK       │
│ xtts       │ shalini      │ sent4      │ 17.5      │ OK       │
│ xtts       │ shalini      │ sent5      │ 17.7      │ OK       │
│ xtts       │ tarun        │ sent1      │ -         │ skipped  │
│ xtts       │ tarun        │ sent2      │ 17.7      │ OK       │
│ xtts       │ tarun        │ sent3      │ 17.4      │ OK       │
│ xtts       │ tarun        │ sent4      │ 17.4      │ OK       │
│ xtts       │ tarun        │ sent5      │ 17.6      │ OK       │
│ xtts       │ yashs        │ sent1      │ -         │ skipped  │
│ xtts       │ yashs        │ sent2      │ 17.1      │ OK       │
│ xtts       │ yashs        │ sent3      │ 17.9      │ OK       │
│ xtts       │ yashs        │ sent4      │ 17.4      │ OK       │
│ xtts       │ yashs        │ sent5      │ 17.2      │ OK       │
│ xtts       │ shagun       │ sent1      │ -         │ skipped  │
│ xtts       │ shagun       │ sent2      │ 17.1      │ OK       │
│ xtts       │ shagun       │ sent3      │ 17.2      │ OK       │
│ xtts       │ shagun       │ sent4      │ 17.1      │ OK       │
│ xtts       │ shagun       │ sent5      │ 17.2      │ OK       │
│ yourtts    │ abhishek     │ sent1      │ 6.6       │ OK       │
│ yourtts    │ abhishek     │ sent2      │ 6.7       │ OK       │
│ yourtts    │ abhishek     │ sent3      │ 6.7       │ OK       │
│ yourtts    │ abhishek     │ sent4      │ 6.6       │ OK       │
